step,epoch,loss,learning_rate,grad_norm,rewards/format_reward,rewards/cosine_scaled_reward,reward,reward_std,gpu_mem_alloc_mb,gpu_mem_peak_mb,step_time_sec
1,0.0006,3.3527612686157227e-08,0.0,,0.0,-0.45186813920736313,-0.9037362784147263,0.11632500402629375,3617.5,6086.5,356.01
2,0.0011,-2.9802322387695312e-08,0.0,,0.0,-0.4544064328074455,-0.9088128805160522,0.134795643389225,3617.5,6091.3,357.14
3,0.0017,-2.384185791015625e-07,0.0,,0.0,-0.44806819409132004,-0.8961364179849625,0.1266492954455316,3617.5,6092.8,356.69
4,0.0023,3.203749656677246e-07,0.0,,0.0,-0.46924517303705215,-0.9384903311729431,0.08165389159694314,3617.5,6095.2,358.13
5,0.0029,2.980232238769531e-07,0.0,,0.0,-0.4361194893717766,-0.8722389936447144,0.1861576708033681,3617.5,6095.2,355.88
6,0.0034,3.2782554626464844e-07,0.0,,0.0,-0.4838990569114685,-0.9677980989217758,0.03695695102214813,3617.5,6102.0,359.97
7,0.004,-6.48200511932373e-07,0.0,,0.0,-0.46913372725248337,-0.9382674694061279,0.04741490981541574,3617.5,6102.0,366.73
8,0.0046,-1.9371509552001953e-07,0.0,,0.0,-0.4689921736717224,-0.9379843473434448,0.08557501714676619,3617.5,6102.0,359.73
9,0.0051,6.258487701416016e-07,0.0,,0.0,-0.47829224169254303,-0.9565844535827637,0.04161944845691323,3617.5,6102.0,356.95
10,0.0057,0.0,0.0,,0.0,-0.39301924407482147,-0.7860384881496429,0.29622524976730347,3654.4,6102.0,356.9
11,0.0063,-1.2665987014770508e-06,1.0000000000000002e-06,,0.0,-0.47354312986135483,-0.9470862597227097,0.025707244174554944,3654.4,6129.7,357.65
12,0.0069,-3.2782554626464844e-07,1.0000000000000002e-06,,0.0,-0.4611263796687126,-0.9222527593374252,0.11853919085115194,3654.4,6132.1,359.0
13,0.0074,-9.834766387939453e-07,2.0000000000000003e-06,,0.0,-0.40241140127182007,-0.8048228025436401,0.2713719364255667,3654.4,6132.1,359.35
14,0.008,-9.98377799987793e-07,3e-06,,0.0,-0.4491143301129341,-0.8982286602258682,0.15008432138711214,3654.4,6132.1,359.42
15,0.0086,-1.2367963790893555e-06,4.000000000000001e-06,,0.0,-0.4349117949604988,-0.8698235750198364,0.1454296549782157,3654.4,6132.1,358.18
16,0.0091,-1.166015863418579e-06,5e-06,,0.0,-0.4481472671031952,-0.8962945342063904,0.11415091808885336,3654.4,6136.0,359.05
17,0.0097,-4.172325134277344e-07,6e-06,,0.0,-0.40375038236379623,-0.8075007796287537,0.2773375315591693,3654.4,6136.0,359.81
18,0.0103,1.0356307029724121e-06,7e-06,,0.0,-0.4421778917312622,-0.8843557834625244,0.1459937175968662,3654.4,6136.0,361.88
19,0.0109,-1.4901161193847656e-08,8.000000000000001e-06,,0.0,-0.46627073734998703,-0.9325414896011353,0.061190704349428415,3654.4,6136.0,361.95
20,0.0114,7.450580596923828e-08,9e-06,,0.0,-0.4463533014059067,-0.8927065879106522,0.1468478236347437,3654.4,6136.0,361.89
21,0.012,-3.241002559661865e-07,1e-05,,0.0,-0.430856853723526,-0.861713707447052,0.15973031288012862,3654.4,6136.0,360.43
22,0.0126,0.0,9.997258721585931e-06,,0.0,-0.42839662730693817,-0.8567932546138763,0.23303062841296196,3654.4,6136.0,359.97
23,0.0131,-1.9371509552001953e-07,9.98903822616921e-06,,0.0,-0.45275644212961197,-0.9055128693580627,0.13258774112910032,3654.4,6136.0,360.57
24,0.0137,4.3958425521850586e-07,9.97534852915723e-06,,0.0,-0.46590057015419006,-0.9318011105060577,0.08933348534628749,3654.4,6136.0,362.48
25,0.0143,-8.940696716308594e-08,9.956206309337067e-06,,0.0,-0.45125550776720047,-0.9025110006332397,0.15539621422067285,3654.4,6136.0,364.1
26,0.0149,-2.8312206268310547e-07,9.931634888554937e-06,,0.0,-0.456791490316391,-0.9135829955339432,0.08904895093291998,3654.4,6136.0,365.75
27,0.0154,-2.60770320892334e-06,9.901664203302126e-06,,0.0,-0.4751305654644966,-0.950261116027832,0.06268075766274706,3654.4,6136.0,370.26
28,0.016,5.960464477539063e-08,9.866330768241984e-06,,0.0,-0.4367612153291702,-0.8735224008560181,0.16378713678568602,3654.4,6138.0,366.74
29,0.0166,4.842877388000488e-07,9.825677631722436e-06,,0.0,-0.4282456487417221,-0.856491282582283,0.1944181639701128,3654.5,6138.0,364.94
30,0.0171,1.0058283805847168e-06,9.779754323328192e-06,,0.0,-0.45244697481393814,-0.9048939347267151,0.1466370872221887,3654.4,6138.0,359.72
31,0.0177,7.301568984985352e-07,9.728616793536588e-06,,0.0,-0.4787774831056595,-0.9575549513101578,0.04152237856760621,3654.4,6138.0,359.74
32,0.0183,7.525086402893066e-07,9.672327345550544e-06,,0.0,-0.4640432074666023,-0.9280864149332047,0.05714223568793386,3654.4,6138.0,359.53
33,0.0189,6.705522537231445e-07,9.610954559391704e-06,,0.0,-0.42499294877052307,-0.8499859273433685,0.13816553819924593,3654.5,6138.0,362.56
34,0.0194,3.4868717193603516e-06,9.544573208346252e-06,,0.0,-0.4555760398507118,-0.9111520648002625,0.06401598325464875,3654.4,6138.0,362.18
35,0.02,1.996755599975586e-06,9.473264167865172e-06,,0.0,-0.4616549611091614,-0.9233099222183228,0.07124835508875549,3654.4,6138.0,360.07
36,0.0206,3.5315752029418945e-06,9.397114317029975e-06,,0.0,-0.43700823187828064,-0.8740164637565613,0.1880413582548499,3654.4,6138.0,358.61
37,0.0211,0.1341422200202942,9.316216432703918e-06,,0.0,-0.40694746375083923,-0.8138948976993561,0.2712679710239172,3654.4,6138.0,357.92
38,0.0217,4.366040229797363e-06,9.230669076497688e-06,,0.0,-0.4537286013364792,-0.9074572026729584,0.140884583350271,3654.5,6138.0,361.01
39,0.0223,2.9802322387695312e-06,9.140576474687263e-06,,0.0,-0.4670984223484993,-0.9341968446969986,0.08859914634376764,3654.4,6138.0,358.53
40,0.0229,3.2633543014526367e-06,9.046048391230248e-06,,0.0,-0.4738834798336029,-0.9477669596672058,0.03630512161180377,3654.4,6138.0,356.31
41,0.0234,3.5390257835388184e-06,8.947199994035402e-06,,0.0,-0.48112839460372925,-0.9622567743062973,0.03198406333103776,3654.4,6138.0,356.46
42,0.024,4.059635102748871e-06,8.844151714648274e-06,,0.0,-0.45688286423683167,-0.9137657284736633,0.09395218873396516,3654.4,6138.0,358.44
43,0.0246,3.972090780735016e-06,8.737029101523931e-06,,0.0,-0.4356464073061943,-0.8712927997112274,0.17926698923110962,3654.4,6138.0,362.88
44,0.0251,7.338821887969971e-06,8.625962667065488e-06,,0.0,-0.4162614122033119,-0.8325228244066238,0.22310001868754625,3654.4,6138.0,358.73
45,0.0257,9.98377799987793e-06,8.511087728614863e-06,,0.0,-0.4377835765480995,-0.8755671381950378,0.1843216335400939,3654.4,6138.0,359.1
46,0.0263,7.063150405883789e-06,8.392544243589428e-06,,0.0,-0.4647279307246208,-0.9294558465480804,0.08181617665104568,3654.4,6138.0,364.32
47,0.0269,9.715557098388672e-06,8.270476638965463e-06,,0.0,-0.4818853959441185,-0.9637707620859146,0.04111184738576412,3654.4,6138.0,366.26
48,0.0274,1.0699033737182617e-05,8.14503363531613e-06,,0.0,-0.47147445380687714,-0.9429489076137543,0.05583410756662488,3654.4,6138.0,367.58
49,0.028,9.488314390182495e-06,8.016368065618361e-06,,0.0,-0.4839174821972847,-0.9678349643945694,0.031033652368932962,3654.4,6138.0,367.03
50,0.0286,1.1995434761047363e-05,7.884636689049423e-06,,0.0,-0.4634588584303856,-0.92691770195961,0.06057529430836439,3654.4,6138.0,365.37
51,0.0291,1.093745231628418e-05,7.75e-06,,0.0,-0.48549777269363403,-0.9709955900907516,0.023253681138157845,3654.5,6138.0,357.96
52,0.0297,1.2755393981933594e-05,7.612622032536508e-06,,0.0,-0.4660480171442032,-0.932096004486084,0.0814181575551629,3654.5,6138.0,357.69
53,0.0303,1.1809170246124268e-05,7.472670160550849e-06,,0.0,-0.42992351949214935,-0.8598470240831375,0.23317514825612307,3654.5,6138.0,360.51
54,0.0309,1.2435019016265869e-05,7.330314893841102e-06,,0.0,-0.4458845555782318,-0.8917691111564636,0.16836319211870432,3654.5,6138.0,359.99
55,0.0314,1.2367963790893555e-05,7.185729670371605e-06,,0.0,-0.46969927847385406,-0.9393985569477081,0.09125666646286845,3654.5,6138.0,357.92
56,0.032,1.3027340173721313e-05,7.0390906449655104e-06,,0.0,-0.4778226688504219,-0.9556453377008438,0.03563447529450059,3654.4,6138.0,359.54
57,0.0326,1.173466444015503e-05,6.890576474687264e-06,,0.0,-0.4766504615545273,-0.9533008933067322,0.047348865773528814,3654.5,6138.0,360.89
58,0.0331,1.0944902896881104e-05,6.740368101176496e-06,,0.0,-0.4303411394357681,-0.8606822788715363,0.19956759549677372,3654.5,6138.0,357.96
59,0.0337,1.4327466487884521e-05,6.588648530198505e-06,,0.0,-0.47175391018390656,-0.9435078203678131,0.028082083677873015,3654.4,6138.0,358.32
60,0.0343,1.862645149230957e-05,6.4356026086799176e-06,,0.0,-0.4349738284945488,-0.8699476420879364,0.14623272977769375,3654.5,6138.0,358.57
61,0.0349,1.6495585441589355e-05,6.281416799501188e-06,,0.0,-0.43933914601802826,-0.8786782920360565,0.14873503288254142,3654.5,6138.0,359.81
62,0.0354,1.4573335647583008e-05,6.126278954320295e-06,,0.0,-0.47655102610588074,-0.9531020373106003,0.04140742728486657,3654.5,6138.0,363.55
63,0.036,1.3574957847595215e-05,5.970378084704441e-06,,0.0,-0.4812774509191513,-0.9625549018383026,0.0323515310883522,3654.4,6138.0,361.67
64,0.0366,1.7490237951278687e-05,5.813904131848565e-06,,0.0,-0.4819137006998062,-0.9638274163007736,0.03202465921640396,3654.5,6138.0,360.66
65,0.0371,1.4990568161010742e-05,5.657047735161256e-06,,0.0,-0.4426536113023758,-0.8853072375059128,0.11870932951569557,3654.5,6138.0,360.47
66,0.0377,1.6763806343078613e-05,5.500000000000001e-06,,0.0,-0.4815715327858925,-0.9631430506706238,0.027665999252349138,3654.4,6138.0,364.95
67,0.0383,2.3305416107177734e-05,5.342952264838748e-06,,0.0,-0.46308349817991257,-0.9261669814586639,0.09819867718033493,3654.4,6138.0,369.54
68,0.0389,2.4430453777313232e-05,5.186095868151436e-06,,0.0,-0.4661281928420067,-0.9322563856840134,0.06839151354506612,3654.4,6138.0,369.64
69,0.0394,1.753866672515869e-05,5.02962191529556e-06,,0.0,-0.4736683666706085,-0.947336733341217,0.06602911371737719,3654.5,6138.0,365.41
70,0.04,1.9043684005737305e-05,4.873721045679707e-06,,0.0,-0.440708264708519,-0.881416529417038,0.15695088542997837,3654.4,6138.0,364.8
71,0.0406,2.4437904357910156e-05,4.718583200498814e-06,,0.0,-0.47764309495687485,-0.9552861750125885,0.04716450162231922,3654.4,6138.0,362.55
72,0.0411,1.781061291694641e-05,4.564397391320085e-06,,0.0,-0.45879723131656647,-0.9175944626331329,0.07855925057083368,3654.4,6138.0,359.86
73,0.0417,2.104230225086212e-05,4.4113514698014955e-06,,0.0,-0.47955460846424103,-0.9591091871261597,0.03032594360411167,3654.4,6138.0,354.97
74,0.0423,1.8224120140075684e-05,4.259631898823504e-06,,0.0,-0.470923513174057,-0.9418470114469528,0.09771440364420414,3654.4,6138.0,359.71
75,0.0429,1.697242259979248e-05,4.109423525312738e-06,,0.0,-0.4515884444117546,-0.9031769037246704,0.11431426065973938,3654.4,6138.0,359.51
76,0.0434,1.5683472156524658e-05,3.960909355034491e-06,,0.0,-0.43553559482097626,-0.8710711896419525,0.16496195830404758,3654.4,6138.0,357.76
77,0.044,2.2258609533309937e-05,3.8142703296283954e-06,,0.0,-0.418168805539608,-0.8363375961780548,0.23763815127313137,3654.4,6138.0,359.55
78,0.0446,2.06679105758667e-05,3.6696851061589e-06,,0.0,-0.45626621693372726,-0.912532389163971,0.1374040930531919,3654.5,6138.0,359.56
79,0.0451,3.053247928619385e-05,3.527329839449152e-06,,0.0,-0.478363037109375,-0.9567261040210724,0.03342599933966994,3654.4,6138.0,359.31
80,0.0457,3.489106893539429e-05,3.3873779674634932e-06,,0.0,-0.43451904505491257,-0.8690381050109863,0.166263896971941,3654.5,6138.0,358.11
81,0.0463,2.2970139980316162e-05,3.2500000000000015e-06,,0.0,-0.4851565733551979,-0.9703131467103958,0.018532322952523828,3654.4,6138.0,359.52
82,0.0469,2.2605061531066895e-05,3.115363310950579e-06,,0.0,-0.4188460633158684,-0.8376921266317368,0.21680933889001608,3654.5,6138.0,360.43
83,0.0474,2.580881118774414e-05,2.98363193438164e-06,,0.0,-0.45973849296569824,-0.9194770008325577,0.07644858444109559,3654.4,6138.0,357.84
84,0.048,2.232193946838379e-05,2.854966364683872e-06,,0.0,-0.4607899561524391,-0.921579897403717,0.07768060895614326,3654.4,6138.0,364.25
85,0.0486,2.230703830718994e-05,2.7295233610345384e-06,,0.0,-0.40651462972164154,-0.8130292594432831,0.21775285061448812,3654.4,6138.0,361.8
86,0.0491,2.0213425159454346e-05,2.607455756410573e-06,,0.0,-0.4558562785387039,-0.911712571978569,0.09181239921599627,3654.5,6138.0,363.18
